Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,Todd Gurley,STL,RB,229,17.6,1106,4.8,85.1,10,71T,45,19.7,11,5,3
2,Thomas Rawls,SEA,RB,147,11.3,830,5.6,63.8,4,69T,37,25.2,7,1,1
3,T.J. Yeldon,JAC,RB,182,15.2,740,4.1,61.7,2,45,25,13.7,4,1,0
4,Karlos Williams,BUF,RB,93,8.5,517,5.6,47,7,41T,25,26.9,5,1,1
5,Melvin Gordon,SD,RB,184,13.1,641,3.5,45.8,0,27,33,17.9,6,0,5
6,Matt Jones,WAS,RB,144,11.1,490,3.4,37.7,3,39T,30,20.8,3,0,4
7,Ameer Abdullah,DET,RB,143,8.9,597,4.2,37.3,2,36,27,18.9,4,0,4
8,David Johnson,ARI,RB,125,7.8,581,4.6,36.3,8,47T,34,27.2,3,1,2
9,Jeremy Langford,CHI,RB,148,9.2,537,3.6,33.6,6,23,28,18.9,1,0,0
10,Tevin Coleman,ATL,RB,87,7.2,392,4.5,32.7,1,46,14,16.1,2,1,3
11,Javorius Allen,BAL,RB,137,8.6,514,3.8,32.1,1,44,28,20.4,2,1,2
12,Cameron Artis-Payne,CAR,RB,45,6.4,183,4.1,26.1,1,31,6,13.3,2,0,0
13,Joey Iosefa,NE,FB,15,7.5,51,3.4,25.5,0,15,2,13.3,0,0,0
14,Duke Johnson,CLE,RB,104,6.5,379,3.6,23.7,0,39,19,18.3,2,0,0
15,David Cobb,TEN,RB,52,7.4,146,2.8,20.9,1,12,6,11.5,0,0,0
16,Jay Ajayi,MIA,RB,49,5.4,187,3.8,20.8,1,24,7,14.3,3,0,0
17,Malcolm Brown,STL,RB,4,4,17,4.3,17,0,13,1,25,0,0,0
18,Akeem Hunt,HOU,RB,17,2.4,96,5.6,13.7,0,25,6,35.3,2,0,0
19,John Crockett,GB,RB,9,4.5,21,2.3,10.5,0,12,2,22.2,0,0,0
20,Zach Zenner,DET,FB,17,2.8,60,3.5,10,0,12,1,5.9,0,0,0
21,Mike Davis,SF,RB,35,5.8,58,1.7,9.7,0,13,5,14.3,0,0,0
22,Josh Robinson,IND,RB,17,3.4,39,2.3,7.8,0,8,0,0,0,0,1
23,Terron Ward,ATL,RB,29,2.2,95,3.3,7.3,1,13,5,17.2,0,0,0
24,Jarryd Hayne,SF,RB,17,2.1,52,3.1,6.5,0,11,4,23.5,0,0,0
25,Trey Williams,IND,RB,2,1,12,6,6,0,12,1,50,0,0,0
26,Terrence Magee,BAL,RB,2,0.5,5,2.5,1.2,0,4,0,0,0,0,0
27,Jalston Fowler,TEN,FB,7,0.4,13,1.9,0.8,1,3,5,71.4,0,0,0
28,Tyler Varga,IND,FB,1,0.3,2,2,0.7,0,2,0,0,0,0,0
29,Corey Grant,JAC,RB,6,1,2,0.3,0.3,0,11,1,16.7,0,0,1
30,Michael Burton,DET,FB,4,0.2,2,0.5,0.1,0,2,1,25,0,0,0
31,Marcus Murphy,NO,RB,1,0.1,0,0,0,0,0,0,0,0,0,0
